"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Epic01_Авторизация","0","Проверка доступности выполнений действий для авторизованного пользователя","2","0","Проверка доступности выполнений действий для авторизованного пользователя (создать пользователя)","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","2","0","Проверка авторизации с пустым значением 'Email' и валидным 'Password'","0"
"0","Epic01_Авторизация","0","Защита от инъекций","12","0","Проверка обработки вредоносного SQL-кода в поле ввода пароля","0"
"0","Epic01_Авторизация","0","Проверка отображения сообщений об ошибке на форме 'Authorization'","2","0","Проверка отображения сообщений об ошибке при пустых значениях 'Email' и 'Password'","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","2","0","Проверка валидации поля 'Password' при вводе значений > 8 символов.","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","2","0","Проверка аллерта после ввода невалидного 'Email' валидного 'Password' и нажатия 'GO'","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","2","0","Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","0"
"0","Epic01_Авторизация","0","Проверка недоступности выполнений действий для неавторизованного пользователя","2","0","Проверка недоступности выполнений действий для неавторизованного пользователя (создать пользователя)","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Email'","2","0","Проверка валидации поля 'Email' значением не являющимся адресом электронной почты.","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","2","0","Проверка авторизации с пустым значением 'Password' и валидным 'Email'","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","2","0","Проверка валидации поля 'Password' при вводе значений < 3 символов","0"
"0","Epic01_Авторизация","0","Проверка валидации страницы 'Authorization'","2","0","Проверка валидации страницы 'Authorization' на наличие всех элементов.","0"
"0","Epic01_Авторизация","0","User authorization","2","0","Авторизация пользователя с валидными данными 'Email' и 'Password'","0"
